hour_of_day,day_of_week,month,holiday,weekday,summertime,temp,dew,humidity,precip,snow,snowdepth,windspeed,cloudcover,visibility,increase_stock
5,5,1,0,0,0,-7.2,-15,53.68,0,0,0,16.3,31.6,16,low_bike_demand
21,4,1,0,1,0,-1.3,-12.8,40.97,0,0,0,23.9,85.7,16,low_bike_demand
21,3,8,0,1,1,26.9,21.8,73.39,0,0,0,0,81.1,16,low_bike_demand
1,6,1,0,0,0,3.1,-4,59.74,0,0,0,19.2,0,16,low_bike_demand
17,0,3,0,1,0,11.7,-11.4,18.71,0,0,0,10.5,44.6,16,low_bike_demand
17,3,3,0,1,1,27.1,12.8,40.98,0,0,0,13.6,81.3,16,high_bike_demand
20,4,7,0,1,1,30.9,24.3,67.71,0,0,0,20.3,50.3,16,low_bike_demand
0,1,12,0,1,0,4.9,-1.7,62.46,0,0,0,21.5,100,16,low_bike_demand
18,0,11,0,1,0,16.6,13.8,83.56,0,0,0,18.1,88.9,16,low_bike_demand
7,5,1,0,0,0,-4.5,-12.2,55.14,0,0,0,12.4,24.4,16,low_bike_demand
7,3,9,0,1,1,18.7,15,78.74,0,0,0,9.2,46.2,16,high_bike_demand
23,5,5,0,0,1,13.5,2.1,46.11,0,0,0,14.2,0,16,low_bike_demand
8,2,9,0,1,1,23.2,21.7,91.18,0,0,0,10.6,61.7,16,low_bike_demand
6,1,6,0,1,1,24.8,22.9,89.07,0,0,0,0,90.1,14,low_bike_demand
8,6,2,0,0,0,3.7,-2.3,65.11,0,0,0,11,92.9,16,low_bike_demand
23,6,12,0,0,0,4.5,-6.6,44.44,0,0,0,7.1,24.4,16,low_bike_demand
18,4,12,1,1,0,10.5,-1,44.62,0,0,0,0.8,92.7,16,low_bike_demand
16,6,12,0,0,0,0,-12.8,37.61,0,0,0,14.8,0,16,low_bike_demand
21,2,9,0,1,1,23.2,21.2,88.49,0,0,0,16.4,79.3,16,low_bike_demand
6,0,7,0,1,1,24.2,21.7,86.23,0,0,0,15.6,90.1,15.8,low_bike_demand
14,5,4,0,0,1,17.7,12.9,73.11,0,0,0,7.1,100,16,high_bike_demand
17,1,9,0,1,1,21.6,5.6,35.2,0,0,0,13.5,24.4,16,high_bike_demand
0,5,1,0,0,0,12.8,11.3,90.18,0,0,0,12.2,99.6,16,low_bike_demand
19,3,12,0,1,0,6.6,1.5,69.97,0,0,0,19.9,99.8,16,low_bike_demand
23,0,7,0,1,1,23.7,21.1,85.64,0,0,0,7.3,81.1,15.9,low_bike_demand
17,1,10,0,1,1,17.1,14.3,83.55,0,0,0,5.3,100,15.9,high_bike_demand
10,1,12,0,1,0,1,-6.1,59.27,0,0,0,0,26.2,16,low_bike_demand
16,4,12,0,1,0,10.7,2.8,58.05,0,0,0,7.3,96.4,16,low_bike_demand
1,0,10,0,1,1,17.1,12.8,75.84,0,0,0,17.8,79.3,16,low_bike_demand
23,2,5,0,1,1,11.6,7.1,74.04,0,0,0,20.2,35.9,16,low_bike_demand
